trial,seed,base_duration,imp_duration,min_cost,base_cost,imp_cost
704,749026967776,6037,865,1.0900292144254278E8,1.3748358810920942E8,1.1529862732489574E8
705,749067254841,6112,894,1.1254109940037066E8,1.4052856998860604E8,1.1904841312586083E8
706,749106608567,5973,921,1.0465981178363036E8,1.3121885099931663E8,1.1087863531304222E8
707,749143004207,6005,973,1.1041063238941681E8,1.3891557356588724E8,1.1735488729137756E8
708,749181041988,5447,800,1.0695287355299042E8,1.320226186510295E8,1.129903833569119E8
709,749216782087,5860,777,1.0403027244300261E8,1.3054035087437515E8,1.0984384107045361E8
710,749250313229,5531,819,1.066556887606469E8,1.3184217895672534E8,1.1276045346652931E8
711,749288461316,6230,890,1.080978559347373E8,1.3790834613081577E8,1.1467336573865886E8
712,749326696355,6272,842,1.082525166604694E8,1.367637715624301E8,1.1484214411144985E8
713,749363027348,6073,777,1.0954043104272158E8,1.363483133956624E8,1.1576299967017236E8
714,749399280042,5715,849,1.0517075742308368E8,1.3140979663877003E8,1.1161085546229935E8
715,749435393443,5193,758,1.0292983002158315E8,1.2730371237452435E8,1.0876186923726948E8
716,749470280045,5894,798,1.0328560978694504E8,1.2879582547321948E8,1.0925966861047453E8
717,749509534264,5772,805,1.0444615881450894E8,1.3196308038313624E8,1.1078082548117548E8
718,749547989564,6173,1070,1.0765396570309024E8,1.3660559315407044E8,1.1428092648740388E8
719,749585253030,5525,779,9.968800877464266E7,1.2441544014719169E8,1.055309891667995E8
720,749618143060,5994,925,1.0601267312051421E8,1.3434126135580835E8,1.1207263390482801E8
721,749676441324,6218,873,1.0707379779700668E8,1.362447781891638E8,1.1336136642445773E8
722,749716308148,5775,868,1.0478786815753706E8,1.3155173090263513E8,1.1103973090263501E8
723,749752783416,5942,888,1.114057689607409E8,1.4005318072544652E8,1.1792078856858398E8
724,749790407060,6488,884,1.0974242844263473E8,1.3919760491322294E8,1.1650738922694859E8
725,749833347912,5990,987,1.0133198115181108E8,1.281228242890658E8,1.076951184067126E8
726,749870858015,5652,821,1.0970127493213274E8,1.36280902383113E8,1.1570062787330906E8
727,749908960751,5848,928,1.0330626627691185E8,1.3106712902200992E8,1.099652858847552E8
728,749945959957,6391,917,1.0963968134896903E8,1.3820787742740026E8,1.1598291664308666E8
729,749984640061,5887,938,1.0736587826280057E8,1.3487619198829082E8,1.1409932924319266E8
730,750023459534,6469,865,1.102187187935302E8,1.38630385460197E8,1.1660899330333422E8
731,750062268350,5507,797,9.946423027241012E7,1.2444340674299853E8,1.054182302724101E8
732,750097161456,6220,878,1.0720826026703823E8,1.358672602670382E8,1.1401127987488146E8
733,750137451460,5673,877,1.0919541802454337E8,1.350235160637592E8,1.1508739841670033E8
734,750171371739,5788,858,1.0498064366771472E8,1.3080238876575392E8,1.1139980053045987E8
735,750208433119,6458,840,1.0419179339860396E8,1.3333602869272166E8,1.1070761692801553E8
736,750247729645,5920,876,1.1039740063732003E8,1.3792657710790855E8,1.1680300848045713E8
737,750284957151,5636,912,1.0822829671845368E8,1.3343663005178703E8,1.1420068887531666E8
738,750319663918,5700,800,1.025918015893443E8,1.2655391923640296E8,1.0855174276581499E8
739,750361943963,5524,766,1.0285585989759006E8,1.2780184028974698E8,1.0879021283876647E8
740,750398590488,6073,906,1.1304385637540472E8,1.417452877479538E8,1.1960483676756158E8
